tollgate_id,time_window,direction,volume
1,"[2016-10-18 06:00:00,2016-10-18 06:20:00)",0,11.035
1,"[2016-10-18 06:20:00,2016-10-18 06:40:00)",0,18.645
1,"[2016-10-18 06:40:00,2016-10-18 07:00:00)",0,23.645
1,"[2016-10-18 07:00:00,2016-10-18 07:20:00)",0,42.55
1,"[2016-10-18 07:20:00,2016-10-18 07:40:00)",0,44.995
1,"[2016-10-18 07:40:00,2016-10-18 08:00:00)",0,43.585
1,"[2016-10-18 15:00:00,2016-10-18 15:20:00)",0,47.705
1,"[2016-10-18 15:20:00,2016-10-18 15:40:00)",0,49.58
1,"[2016-10-18 15:40:00,2016-10-18 16:00:00)",0,47.845
1,"[2016-10-18 16:00:00,2016-10-18 16:20:00)",0,50.91
1,"[2016-10-18 16:20:00,2016-10-18 16:40:00)",0,50.74
1,"[2016-10-18 16:40:00,2016-10-18 17:00:00)",0,46.58
1,"[2016-10-19 06:00:00,2016-10-19 06:20:00)",0,11.72
1,"[2016-10-19 06:20:00,2016-10-19 06:40:00)",0,19.18
1,"[2016-10-19 06:40:00,2016-10-19 07:00:00)",0,25.01
1,"[2016-10-19 07:00:00,2016-10-19 07:20:00)",0,32.815
1,"[2016-10-19 07:20:00,2016-10-19 07:40:00)",0,36.885
1,"[2016-10-19 07:40:00,2016-10-19 08:00:00)",0,46.675
1,"[2016-10-19 15:00:00,2016-10-19 15:20:00)",0,50.055
1,"[2016-10-19 15:20:00,2016-10-19 15:40:00)",0,51.76
1,"[2016-10-19 15:40:00,2016-10-19 16:00:00)",0,51.045
1,"[2016-10-19 16:00:00,2016-10-19 16:20:00)",0,52.965
1,"[2016-10-19 16:20:00,2016-10-19 16:40:00)",0,48.855
1,"[2016-10-19 16:40:00,2016-10-19 17:00:00)",0,48.425
1,"[2016-10-20 06:00:00,2016-10-20 06:20:00)",0,10.975
1,"[2016-10-20 06:20:00,2016-10-20 06:40:00)",0,17.98
1,"[2016-10-20 06:40:00,2016-10-20 07:00:00)",0,20.27
1,"[2016-10-20 07:00:00,2016-10-20 07:20:00)",0,42.86
1,"[2016-10-20 07:20:00,2016-10-20 07:40:00)",0,41.445
1,"[2016-10-20 07:40:00,2016-10-20 08:00:00)",0,47.075
1,"[2016-10-20 15:00:00,2016-10-20 15:20:00)",0,53.185
1,"[2016-10-20 15:20:00,2016-10-20 15:40:00)",0,54.305
1,"[2016-10-20 15:40:00,2016-10-20 16:00:00)",0,50.805
1,"[2016-10-20 16:00:00,2016-10-20 16:20:00)",0,50.66
1,"[2016-10-20 16:20:00,2016-10-20 16:40:00)",0,50.205
1,"[2016-10-20 16:40:00,2016-10-20 17:00:00)",0,49.35
1,"[2016-10-21 06:00:00,2016-10-21 06:20:00)",0,13.005
1,"[2016-10-21 06:20:00,2016-10-21 06:40:00)",0,22.765
1,"[2016-10-21 06:40:00,2016-10-21 07:00:00)",0,26.98
1,"[2016-10-21 07:00:00,2016-10-21 07:20:00)",0,45.195
1,"[2016-10-21 07:20:00,2016-10-21 07:40:00)",0,60.77
1,"[2016-10-21 07:40:00,2016-10-21 08:00:00)",0,60.31
1,"[2016-10-21 15:00:00,2016-10-21 15:20:00)",0,58.02
1,"[2016-10-21 15:20:00,2016-10-21 15:40:00)",0,58.075
1,"[2016-10-21 15:40:00,2016-10-21 16:00:00)",0,49.39
1,"[2016-10-21 16:00:00,2016-10-21 16:20:00)",0,56.83
1,"[2016-10-21 16:20:00,2016-10-21 16:40:00)",0,57.355
1,"[2016-10-21 16:40:00,2016-10-21 17:00:00)",0,57.29
1,"[2016-10-22 06:00:00,2016-10-22 06:20:00)",0,20.61
1,"[2016-10-22 06:20:00,2016-10-22 06:40:00)",0,27.91
1,"[2016-10-22 06:40:00,2016-10-22 07:00:00)",0,27.245
1,"[2016-10-22 07:00:00,2016-10-22 07:20:00)",0,53.635
1,"[2016-10-22 07:20:00,2016-10-22 07:40:00)",0,47.15
1,"[2016-10-22 07:40:00,2016-10-22 08:00:00)",0,59.25
1,"[2016-10-22 15:00:00,2016-10-22 15:20:00)",0,65.32
1,"[2016-10-22 15:20:00,2016-10-22 15:40:00)",0,65.2
1,"[2016-10-22 15:40:00,2016-10-22 16:00:00)",0,55.86
1,"[2016-10-22 16:00:00,2016-10-22 16:20:00)",0,53.28
1,"[2016-10-22 16:20:00,2016-10-22 16:40:00)",0,49.575
1,"[2016-10-22 16:40:00,2016-10-22 17:00:00)",0,49.295
1,"[2016-10-23 06:00:00,2016-10-23 06:20:00)",0,11.09
1,"[2016-10-23 06:20:00,2016-10-23 06:40:00)",0,19.24
1,"[2016-10-23 06:40:00,2016-10-23 07:00:00)",0,22.775
1,"[2016-10-23 07:00:00,2016-10-23 07:20:00)",0,24.305
1,"[2016-10-23 07:20:00,2016-10-23 07:40:00)",0,27.245
1,"[2016-10-23 07:40:00,2016-10-23 08:00:00)",0,33.675
1,"[2016-10-23 15:00:00,2016-10-23 15:20:00)",0,48.075
1,"[2016-10-23 15:20:00,2016-10-23 15:40:00)",0,50.76
1,"[2016-10-23 15:40:00,2016-10-23 16:00:00)",0,55.38
1,"[2016-10-23 16:00:00,2016-10-23 16:20:00)",0,58.74
1,"[2016-10-23 16:20:00,2016-10-23 16:40:00)",0,58.085
1,"[2016-10-23 16:40:00,2016-10-23 17:00:00)",0,56.665
1,"[2016-10-24 06:00:00,2016-10-24 06:20:00)",0,11.21
1,"[2016-10-24 06:20:00,2016-10-24 06:40:00)",0,17.955
1,"[2016-10-24 06:40:00,2016-10-24 07:00:00)",0,23.815
1,"[2016-10-24 07:00:00,2016-10-24 07:20:00)",0,43.185
1,"[2016-10-24 07:20:00,2016-10-24 07:40:00)",0,44.395
1,"[2016-10-24 07:40:00,2016-10-24 08:00:00)",0,44.905
1,"[2016-10-24 15:00:00,2016-10-24 15:20:00)",0,50.175
1,"[2016-10-24 15:20:00,2016-10-24 15:40:00)",0,51.155
1,"[2016-10-24 15:40:00,2016-10-24 16:00:00)",0,50.135
1,"[2016-10-24 16:00:00,2016-10-24 16:20:00)",0,49.965
1,"[2016-10-24 16:20:00,2016-10-24 16:40:00)",0,50.82
1,"[2016-10-24 16:40:00,2016-10-24 17:00:00)",0,45.66
1,"[2016-10-18 06:00:00,2016-10-18 06:20:00)",1,41.65
1,"[2016-10-18 06:20:00,2016-10-18 06:40:00)",1,55.49
1,"[2016-10-18 06:40:00,2016-10-18 07:00:00)",1,54.5
1,"[2016-10-18 07:00:00,2016-10-18 07:20:00)",1,102.435
1,"[2016-10-18 07:20:00,2016-10-18 07:40:00)",1,94.72
1,"[2016-10-18 07:40:00,2016-10-18 08:00:00)",1,92.02
1,"[2016-10-18 15:00:00,2016-10-18 15:20:00)",1,95.825
1,"[2016-10-18 15:20:00,2016-10-18 15:40:00)",1,96.505
1,"[2016-10-18 15:40:00,2016-10-18 16:00:00)",1,98.005
1,"[2016-10-18 16:00:00,2016-10-18 16:20:00)",1,90.165
1,"[2016-10-18 16:20:00,2016-10-18 16:40:00)",1,95.95
1,"[2016-10-18 16:40:00,2016-10-18 17:00:00)",1,95.69
1,"[2016-10-19 06:00:00,2016-10-19 06:20:00)",1,39.465
1,"[2016-10-19 06:20:00,2016-10-19 06:40:00)",1,54.875
1,"[2016-10-19 06:40:00,2016-10-19 07:00:00)",1,62.44
1,"[2016-10-19 07:00:00,2016-10-19 07:20:00)",1,99.78
1,"[2016-10-19 07:20:00,2016-10-19 07:40:00)",1,108.785
1,"[2016-10-19 07:40:00,2016-10-19 08:00:00)",1,93.52
1,"[2016-10-19 15:00:00,2016-10-19 15:20:00)",1,87.07
1,"[2016-10-19 15:20:00,2016-10-19 15:40:00)",1,87.745
1,"[2016-10-19 15:40:00,2016-10-19 16:00:00)",1,87.08
1,"[2016-10-19 16:00:00,2016-10-19 16:20:00)",1,95.615
1,"[2016-10-19 16:20:00,2016-10-19 16:40:00)",1,97.525
1,"[2016-10-19 16:40:00,2016-10-19 17:00:00)",1,96.81
1,"[2016-10-20 06:00:00,2016-10-20 06:20:00)",1,37.83
1,"[2016-10-20 06:20:00,2016-10-20 06:40:00)",1,55.16
1,"[2016-10-20 06:40:00,2016-10-20 07:00:00)",1,61.585
1,"[2016-10-20 07:00:00,2016-10-20 07:20:00)",1,96.045
1,"[2016-10-20 07:20:00,2016-10-20 07:40:00)",1,106.73
1,"[2016-10-20 07:40:00,2016-10-20 08:00:00)",1,93.16
1,"[2016-10-20 15:00:00,2016-10-20 15:20:00)",1,86.705
1,"[2016-10-20 15:20:00,2016-10-20 15:40:00)",1,88.02
