minutes_since_0,minutes_diff_13,before_holiday,after_holiday,holiday_len,is_am,neigh_4hour_std_value,neigh_4hour_avg_value,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,time_window_start,time_window_end,tollgate_id,direction,volume
-1.7158201227282242,2.1475381677321304,-0.34738884890807736,2.211626684273254,-0.704522609716707,-0.877207602217351,2.3213041305772193,2.226102641830151,-0.6401418188955903,-0.6314613627563895,-0.08805471956505813,0.27430189593339654,0.021485332538289405,-0.3155894180241754,-0.29236575313617635,2016-09-19 00:40:00,2016-09-19 01:00:00,3,1,93.0
-1.7158201227282242,2.1475381677321304,-0.34738884890807736,2.211626684273254,-0.704522609716707,-0.877207602217351,-1.212050803339707,-0.932329690429155,-0.6401418188955903,-0.6314613627563895,-0.08805471956505813,0.27430189593339654,0.021485332538289405,-0.3155894180241754,-0.29236575313617635,2016-09-19 00:40:00,2016-09-19 01:00:00,3,0,16.0
-1.7158201227282242,2.1475381677321304,-0.34738884890807736,2.211626684273254,-0.704522609716707,-0.877207602217351,3.100720660117718,1.047764425564179,-0.6401418188955903,-0.6314613627563895,-0.08805471956505813,0.27430189593339654,0.021485332538289405,-0.3155894180241754,-0.29236575313617635,2016-09-19 00:40:00,2016-09-19 01:00:00,1,1,31.0
-1.7158201227282242,2.1475381677321304,-0.34738884890807736,2.211626684273254,-0.704522609716707,-0.877207602217351,-0.9002841915235076,-1.102399123704656,-0.6401418188955903,-0.6314613627563895,-0.08805471956505813,0.27430189593339654,0.021485332538289405,-0.3155894180241754,-0.29236575313617635,2016-09-19 00:40:00,2016-09-19 01:00:00,1,0,9.0
-1.665906705174597,1.6714351108006382,-0.34738884890807736,2.211626684273254,-0.704522609716707,-0.877207602217351,2.138812187143504,1.7928305141997074,-0.6147643638480838,-0.6063982043888393,-0.09158647013027961,1.5993788352259932,0.6693054132467853,-0.9975705888054947,-0.29236575313617635,2016-09-19 01:00:00,2016-09-19 01:20:00,3,1,4.0
-1.665906705174597,1.6714351108006382,-0.34738884890807736,2.211626684273254,-0.704522609716707,-0.877207602217351,-1.2215858432098488,-0.9363789626500002,-0.6147643638480838,-0.6063982043888393,-0.09158647013027961,1.5993788352259932,0.6693054132467853,-0.9975705888054947,-0.29236575313617635,2016-09-19 01:00:00,2016-09-19 01:20:00,3,0,17.0
-1.665906705174597,1.6714351108006382,-0.34738884890807736,2.211626684273254,-0.704522609716707,-0.877207602217351,2.9318805932260807,0.5051619479709136,-0.6147643638480838,-0.6063982043888393,-0.09158647013027961,1.5993788352259932,0.6693054132467853,-0.9975705888054947,-0.29236575313617635,2016-09-19 01:00:00,2016-09-19 01:20:00,1,1,4.0
-1.665906705174597,1.6714351108006382,-0.34738884890807736,2.211626684273254,-0.704522609716707,-0.877207602217351,-1.005944244463804,-1.1064483959255014,-0.6147643638480838,-0.6063982043888393,-0.09158647013027961,1.5993788352259932,0.6693054132467853,-0.9975705888054947,-0.29236575313617635,2016-09-19 01:00:00,2016-09-19 01:20:00,1,0,10.0
-1.61599328762097,1.7666557221869366,-0.34738884890807736,2.211626684273254,-0.704522609716707,-0.877207602217351,4.093275984376133,1.0356166089016432,-0.6147643638480838,-0.6063982043888393,-0.09158647013027961,1.5993788352259932,0.6693054132467853,-0.9975705888054947,-0.29236575313617635,2016-09-19 01:20:00,2016-09-19 01:40:00,3,1,5.0
-1.61599328762097,1.7666557221869366,-0.34738884890807736,2.211626684273254,-0.704522609716707,-0.877207602217351,-1.2215858432098488,-0.932329690429155,-0.6147643638480838,-0.6063982043888393,-0.09158647013027961,1.5993788352259932,0.6693054132467853,-0.9975705888054947,-0.29236575313617635,2016-09-19 01:20:00,2016-09-19 01:40:00,3,0,17.0
-1.61599328762097,1.7666557221869366,-0.34738884890807736,2.211626684273254,-0.704522609716707,-0.877207602217351,3.056942450821486,0.06986518423004773,-0.6147643638480838,-0.6063982043888393,-0.09158647013027961,1.5993788352259932,0.6693054132467853,-0.9975705888054947,-0.29236575313617635,2016-09-19 01:20:00,2016-09-19 01:40:00,1,1,14.0
-1.61599328762097,1.7666557221869366,-0.34738884890807736,2.211626684273254,-0.704522609716707,-0.877207602217351,-1.0518815948129498,-1.102399123704656,-0.6147643638480838,-0.6063982043888393,-0.09158647013027961,1.5993788352259932,0.6693054132467853,-0.9975705888054947,-0.29236575313617635,2016-09-19 01:20:00,2016-09-19 01:40:00,1,0,14.0
