tollgate_id,time_window_start,time_window_end,direction,volume
1.0,2016-09-19 06:00:00,2016-09-19 06:20:00,0.0,8.0
1.0,2016-09-20 06:00:00,2016-09-20 06:20:00,0.0,13.0
1.0,2016-09-21 06:00:00,2016-09-21 06:20:00,0.0,36.0
1.0,2016-09-22 06:00:00,2016-09-22 06:20:00,0.0,6.0
1.0,2016-09-23 06:00:00,2016-09-23 06:20:00,0.0,12.0
1.0,2016-09-24 06:00:00,2016-09-24 06:20:00,0.0,8.0
1.0,2016-09-25 06:00:00,2016-09-25 06:20:00,0.0,10.0
1.0,2016-09-26 06:00:00,2016-09-26 06:20:00,0.0,13.0
1.0,2016-09-27 06:00:00,2016-09-27 06:20:00,0.0,12.0
1.0,2016-09-28 06:00:00,2016-09-28 06:20:00,0.0,30.0
1.0,2016-09-29 06:00:00,2016-09-29 06:20:00,0.0,4.0
1.0,2016-09-30 06:00:00,2016-09-30 06:20:00,0.0,10.0
1.0,2016-10-01 06:00:00,2016-10-01 06:20:00,0.0,213.0
1.0,2016-10-02 06:00:00,2016-10-02 06:20:00,0.0,64.0
1.0,2016-10-03 06:00:00,2016-10-03 06:20:00,0.0,34.0
1.0,2016-10-04 06:00:00,2016-10-04 06:20:00,0.0,40.0
1.0,2016-10-05 06:00:00,2016-10-05 06:20:00,0.0,43.0
1.0,2016-10-06 06:00:00,2016-10-06 06:20:00,0.0,46.0
1.0,2016-10-07 06:00:00,2016-10-07 06:20:00,0.0,40.0
1.0,2016-10-08 06:00:00,2016-10-08 06:20:00,0.0,9.0
1.0,2016-10-09 06:00:00,2016-10-09 06:20:00,0.0,8.0
1.0,2016-10-10 06:00:00,2016-10-10 06:20:00,0.0,13.0
1.0,2016-10-11 06:00:00,2016-10-11 06:20:00,0.0,9.0
1.0,2016-10-12 06:00:00,2016-10-12 06:20:00,0.0,10.0
1.0,2016-10-13 06:00:00,2016-10-13 06:20:00,0.0,17.0
1.0,2016-10-14 06:00:00,2016-10-14 06:20:00,0.0,14.0
1.0,2016-10-15 06:00:00,2016-10-15 06:20:00,0.0,10.0
