intersection_id,tollgate_id,time_window_start,time_window_end,avg_travel_time,minutes_since_0,minutes_diff_13,before_holiday,after_holiday,start_holiday,end_holiday,holiday_len,is_am,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,neigh_2h_avg_travel_time_avg,neigh_2h_avg_travel_time_std,neigh_2h_extracost1_avg,neigh_2h_extracost1_std,neigh_2h_extracost2_avg,neigh_2h_extracost2_std,neigh_2h_travel_time_avg,neigh_2h_travel_time_std,neigh_2h_vehicles_avg,neigh_2h_vehicles_std,is_am_min_diff_13,surprise1,surprise2,surprise3
A,2,2016-07-19 06:20:00,2016-07-19 06:40:00,48.588,380,440,False,False,False,False,0,False,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,42.45866666666667,3.0621115445246447,-0.17599999999999766,0.8351670491584324,-0.05900000000000105,0.3881546083714574,7.070863085385914,5.86084992935269,2.4,0.8,-440,False,-440,117.37931304270926
A,2,2016-07-19 06:40:00,2016-07-19 07:00:00,66.6425,400,460,False,False,False,False,0,False,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,46.352,8.451076091901614,0.10200000000000382,1.1101243173627022,-0.036999999999999734,0.4065907032877171,10.223254854609193,5.433193920495528,3.4,1.3564659966250536,-460,False,-460,119.90831369196614
A,2,2016-07-19 07:20:00,2016-07-19 07:40:00,85.676,440,380,False,False,False,False,0,False,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,47.87627777777778,7.249238607316112,0.1549999999999952,1.0414053005434505,-0.031666666666668064,0.3705701313141985,8.535137294684779,6.051629461447448,3.5,1.5,-380,False,-380,98.22623740275634
A,2,2016-07-19 07:40:00,2016-07-19 08:00:00,58.96888888888889,460,400,False,False,False,False,0,False,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,50.029611111111116,7.07700357814391,0.5166666666666586,1.4227633519161025,-0.0058333333333351325,0.3956051974155829,11.076029768092,6.523933469132958,4.333333333333333,1.795054935711501,-400,False,-400,102.23341541334068
A,2,2016-07-19 08:00:00,2016-07-19 08:20:00,81.60285714285716,480,300,False,False,False,False,0,False,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,53.13865873015873,5.7013571855242215,0.3883333333333283,1.5511438431758022,-0.030833333333334895,0.40538476236232096,10.998305572817822,6.463189388112259,5.0,1.914854215512676,-300,False,-300,75.51150170354893
A,2,2016-07-19 08:20:00,2016-07-19 08:40:00,80.20785714285714,500,320,False,False,False,False,0,False,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,52.84299206349206,5.992024241293705,0.8333333333333298,1.2788493091664628,0.17083333333333192,0.24796533135814874,12.931432255005872,5.978987431598231,5.333333333333333,1.699673171197595,-320,False,-320,80.65888014980479
A,2,2016-07-19 08:40:00,2016-07-19 09:00:00,63.448461538461544,520,340,False,False,False,False,0,False,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,50.58988095238095,4.420715614813073,0.634999999999995,1.2329199757756577,0.12916666666666407,0.23679134040097316,12.699423862256165,5.891011655790829,5.166666666666667,1.6749792701868151,-340,False,-340,86.65176515155002
A,2,2016-07-19 09:00:00,2016-07-19 09:20:00,78.05117647058823,540,240,False,False,False,False,0,False,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,54.01113095238096,6.888258955852738,0.5283333333333259,1.2979652880138497,0.10583333333333064,0.2485695185567937,17.707591137271027,6.35199075813489,6.166666666666668,1.2133516482134197,-240,False,-240,60.16258707424881
A,2,2016-07-19 09:20:00,2016-07-19 09:40:00,69.03833333333334,560,260,False,False,False,False,0,False,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,56.53196428571428,7.533911978305408,0.3099999999999952,1.331865859111442,0.0966666666666664,0.2525481252267689,21.43756635398775,7.444016814301253,7.0,1.7320508075688772,-260,False,-260,64.43927811354537
A,2,2016-07-19 09:40:00,2016-07-19 10:00:00,69.65714285714286,580,280,False,False,False,False,0,False,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,61.671297619047614,13.093220701861224,-0.49500000000000105,1.064843493977713,-0.0191666666666664,0.2316142026925136,22.985748329136577,7.655221950712757,7.5,2.0615528128088303,-280,False,-280,67.93117920187085
A,2,2016-07-19 15:00:00,2016-07-19 15:20:00,79.42083333333333,900,120,False,False,False,False,0,True,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,54.703790376290385,9.123935420244603,0.07166666666667673,1.21396618111416,-0.0024999999999977267,0.1712636855845397,22.51796423704092,10.964400399315762,9.166666666666666,3.131382371342656,120,False,-120,29.98550949559086
A,2,2016-07-19 15:20:00,2016-07-19 15:40:00,72.314,920,140,False,False,False,False,0,True,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,52.269495504495495,5.152588655384372,-0.3733333333333266,0.9048879611433792,-0.06916666666666653,0.16897772700040115,21.724026023317574,9.68285547087336,10.0,3.366501646120693,140,False,-140,35.38558843308187
A,2,2016-07-19 15:40:00,2016-07-19 16:00:00,58.74100000000001,940,160,False,False,False,False,0,True,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,54.12759735634736,4.505494221919415,-0.4933333333333276,1.032096033430138,-0.08833333333333353,0.1814218533939305,24.497394219494804,7.647586041381827,10.833333333333336,2.1921577396609844,160,False,-160,40.08674598175374
