intersection_id,tollgate_id,time_window_start,time_window_end,avg_travel_time,travel_time,vehicles,extracost1,extracost2
A,2,2016-10-18 06:00:00,2016-10-18 06:20:00,41.097142857142856,18.777559935807876,7,1.7100000000000044,0.39000000000000057
A,2,2016-10-18 06:20:00,2016-10-18 06:40:00,43.681666666666665,11.690463492379877,6,0.30000000000000426,-0.06499999999999417
A,2,2016-10-18 06:40:00,2016-10-18 07:00:00,68.02428571428571,29.783543474623063,7,-0.6500000000000057,0.02000000000000313
A,2,2016-10-18 07:00:00,2016-10-18 07:20:00,52.60833333333334,18.077109743171526,6,-2.739999999999977,-0.5450000000000053
A,2,2016-10-18 07:20:00,2016-10-18 07:40:00,56.16555555555556,16.96084616927404,9,3.450000000000017,0.35999999999999943
A,2,2016-10-18 07:40:00,2016-10-18 08:00:00,63.598571428571425,13.235799218497563,7,0.649999999999956,0.2700000000000031
A,2,2016-10-18 15:00:00,2016-10-18 15:20:00,99.96066666666664,57.64935317028613,15,-0.32000000000000384,-0.05000000000000426
A,2,2016-10-18 15:20:00,2016-10-18 15:40:00,88.36055555555555,23.89375293010638,18,7.910000000000067,0.045000000000001705
A,2,2016-10-18 15:40:00,2016-10-18 16:00:00,74.886,34.52796972504079,10,2.6100000000000136,0.22999999999999332
A,2,2016-10-18 16:00:00,2016-10-18 16:20:00,63.30272727272727,30.920821493262135,11,0.9000000000000092,0.10000000000000142
A,2,2016-10-18 16:20:00,2016-10-18 16:40:00,71.362,30.980891171458865,10,1.6299999999999812,0.2749999999999986
A,2,2016-10-18 16:40:00,2016-10-18 17:00:00,99.2609090909091,77.83265053363473,11,2.150000000000041,0.18999999999999773
A,2,2016-10-19 06:00:00,2016-10-19 06:20:00,40.01,15.53385120739005,7,-1.3399999999999892,-0.03999999999999915
A,2,2016-10-19 06:20:00,2016-10-19 06:40:00,57.00727272727272,13.560498582949734,11,1.7500000000000355,0.25
A,2,2016-10-19 06:40:00,2016-10-19 07:00:00,37.412,5.853137620114532,5,-0.9299999999999962,-0.0400000000000027
A,2,2016-10-19 07:00:00,2016-10-19 07:20:00,69.584,22.13934421127381,20,-0.9200000000000195,-0.029999999999997588
A,2,2016-10-19 07:20:00,2016-10-19 07:40:00,100.114,88.63836347767257,5,-6.0699999999999825,0.020000000000010232
A,2,2016-10-19 07:40:00,2016-10-19 08:00:00,58.29214285714287,21.946593630402464,14,-1.9999999999999538,-0.03500000000000014
A,2,2016-10-19 15:00:00,2016-10-19 15:20:00,64.46285714285715,23.562377582974037,14,-1.5899999999999466,-0.009999999999990905
