direction,time_window_start,tollgate_id,tsv
0.0,2016-09-19 06:00:00,1.0,25.293006206870718
0.0,2016-09-20 06:00:00,1.0,21.912918593634316
0.0,2016-09-21 06:00:00,1.0,23.359111531446896
0.0,2016-09-22 06:00:00,1.0,25.886246126315733
0.0,2016-09-23 06:00:00,1.0,19.046688625738486
0.0,2016-09-24 06:00:00,1.0,25.023146313489104
0.0,2016-09-25 06:00:00,1.0,19.74603494072669
0.0,2016-09-26 06:00:00,1.0,21.54582251309891
0.0,2016-09-27 06:00:00,1.0,21.15919893032858
0.0,2016-09-28 06:00:00,1.0,21.14477388760966
0.0,2016-09-29 06:00:00,1.0,25.244412924925307
0.0,2016-09-30 06:00:00,1.0,18.68774388857061
0.0,2016-10-01 06:00:00,1.0,23.961386085267605
0.0,2016-10-02 06:00:00,1.0,61.822750312440824
0.0,2016-10-03 06:00:00,1.0,20.00422406104665
0.0,2016-10-04 06:00:00,1.0,50.038242421834234
0.0,2016-10-05 06:00:00,1.0,32.26875407448982
0.0,2016-10-06 06:00:00,1.0,31.108174741102477
0.0,2016-10-07 06:00:00,1.0,30.834905175776488
0.0,2016-10-08 06:00:00,1.0,29.676475396743545
0.0,2016-10-09 06:00:00,1.0,23.990467311614218
0.0,2016-10-10 06:00:00,1.0,24.846098200383487
0.0,2016-10-11 06:00:00,1.0,21.776528166638737
0.0,2016-10-12 06:00:00,1.0,20.555560369022352
0.0,2016-10-13 06:00:00,1.0,21.35418045900112
0.0,2016-10-14 06:00:00,1.0,22.16546882972456
0.0,2016-10-15 06:00:00,1.0,21.3027384293319
0.0,2016-10-16 06:00:00,1.0,21.56100388467114
0.0,2016-10-17 06:00:00,1.0,20.56086824756118
0.0,2016-09-19 06:20:00,1.0,34.80339142330715
0.0,2016-09-20 06:20:00,1.0,30.054973955926837
0.0,2016-09-21 06:20:00,1.0,30.034312419657788
0.0,2016-09-22 06:20:00,1.0,32.650272089638364
0.0,2016-09-23 06:20:00,1.0,27.489324727080998
0.0,2016-09-24 06:20:00,1.0,29.604319513992596
0.0,2016-09-25 06:20:00,1.0,30.165412889040336
0.0,2016-09-26 06:20:00,1.0,28.444568896773877
0.0,2016-09-27 06:20:00,1.0,29.25858094849323
0.0,2016-09-28 06:20:00,1.0,28.173608485772792
0.0,2016-09-29 06:20:00,1.0,33.52764759995663
0.0,2016-09-30 06:20:00,1.0,29.78316288978506
0.0,2016-10-01 06:20:00,1.0,33.05134669341496
0.0,2016-10-02 06:20:00,1.0,71.33976649941803
0.0,2016-10-03 06:20:00,1.0,54.91219915930602
0.0,2016-10-04 06:20:00,1.0,69.43393732752321
0.0,2016-10-05 06:20:00,1.0,70.7672705552539
0.0,2016-10-06 06:20:00,1.0,57.885814093324
0.0,2016-10-07 06:20:00,1.0,34.21031478157512
0.0,2016-10-08 06:20:00,1.0,19.50414405884264
0.0,2016-10-09 06:20:00,1.0,14.089237137339502
0.0,2016-10-10 06:20:00,1.0,25.587574280716407
0.0,2016-10-11 06:20:00,1.0,38.28763730885731
0.0,2016-10-12 06:20:00,1.0,43.95839219353425
0.0,2016-10-13 06:20:00,1.0,36.915673211193756
0.0,2016-10-14 06:20:00,1.0,26.38973430584205
0.0,2016-10-15 06:20:00,1.0,18.175811164460413
0.0,2016-10-16 06:20:00,1.0,17.320108283230585
0.0,2016-10-17 06:20:00,1.0,22.797156359576586
0.0,2016-09-19 06:40:00,1.0,45.48545740148527
0.0,2016-09-20 06:40:00,1.0,43.337511728291005
0.0,2016-09-21 06:40:00,1.0,41.756194996685096
0.0,2016-09-22 06:40:00,1.0,45.85257823629952
0.0,2016-09-23 06:40:00,1.0,42.630011727434564
0.0,2016-09-24 06:40:00,1.0,45.267377269998825
0.0,2016-09-25 06:40:00,1.0,44.7801071264779
0.0,2016-09-26 06:40:00,1.0,42.09843955181854
0.0,2016-09-27 06:40:00,1.0,38.83304542788896
0.0,2016-09-28 06:40:00,1.0,35.96426244305903
0.0,2016-09-29 06:40:00,1.0,38.526355745807656
0.0,2016-09-30 06:40:00,1.0,40.618899691163136
0.0,2016-10-01 06:40:00,1.0,45.276538597017186
0.0,2016-10-02 06:40:00,1.0,63.01773507165128
0.0,2016-10-03 06:40:00,1.0,62.78320290038103
0.0,2016-10-04 06:40:00,1.0,89.92017984225689
0.0,2016-10-05 06:40:00,1.0,96.16107207122973
0.0,2016-10-06 06:40:00,1.0,80.11514011000966
0.0,2016-10-07 06:40:00,1.0,52.54451218427722
0.0,2016-10-08 06:40:00,1.0,31.055549989537116
0.0,2016-10-09 06:40:00,1.0,21.38295717779491
0.0,2016-10-10 06:40:00,1.0,29.63420258159121
0.0,2016-10-11 06:40:00,1.0,40.72455869865832
0.0,2016-10-12 06:40:00,1.0,47.90325028139335
0.0,2016-10-13 06:40:00,1.0,47.45672006735619
