time_window_start,sea_pressure,end_holiday,tollgate_id,neigh_2h_volume_avg,direction,before_holiday,pressure,after_holiday,minutes_diff_13,is_am,wind_direction,minutes_since_0,rel_humidity,wind_speed,temperature,holiday_len,time_window_end,volume,start_holiday,precipitation,neigh_2h_volume_std,gbdt_0,gbdt_1,gbdt_2,gbdt_3,gbdt_4,tsv
2016-09-19 06:00:00,1012.3,False,1,7.5,0,False,1007.4,True,420,False,12.0,360,56.0,6.2,26.8,0,2016-09-19 06:20:00,8.0,False,0.0,2.0615528128088303,-0.5069049427193768,-0.2020642517132055,-0.27834662849238273,0.1701478615777072,-0.06915512856899078,25.293006206870718
2016-09-19 06:20:00,1012.3,False,1,8.0,0,False,1007.4,True,440,False,12.0,380,56.0,6.2,26.8,0,2016-09-19 06:40:00,13.0,False,0.0,2.23606797749979,-0.5069049427193768,-0.20206425171320544,-0.2783466284923828,0.17014786157770745,-0.06915512856899086,34.80339142330715
2016-09-19 06:40:00,1012.3,False,1,8.5,0,False,1007.4,True,460,False,12.0,400,56.0,6.2,26.8,0,2016-09-19 07:00:00,32.0,False,0.0,2.8722813232690143,-0.8989126639559629,0.27279861123015803,0.28285534220982056,-0.3409448373821892,0.6613301349297538,45.48545740148527
2016-09-19 07:00:00,1013.3,False,1,9.5,0,False,1008.3,True,360,False,351.0,420,72.0,5.3,23.8,0,2016-09-19 07:20:00,39.0,False,0.1,2.8722813232690143,-1.2753737383680603,0.6375558993008557,0.8020677143647933,-0.8263394172735382,0.5683152354490378,56.996267003025494
2016-09-19 07:20:00,1013.3,False,1,8.333333333333334,0,False,1008.3,True,380,False,351.0,440,72.0,5.3,23.8,0,2016-09-19 07:40:00,31.0,False,0.1,4.027681991198191,-1.3066959318516378,0.6931562773122122,0.8832553326590065,-0.8666057535380147,0.6752959877741328,61.576111824546345
2016-09-20 06:00:00,1017.2,False,1,7.5,0,False,1012.2,False,420,False,7.0,360,43.0,4.6,26.9,0,2016-09-20 06:20:00,13.0,False,0.0,1.707825127659933,-0.5069049427193767,-0.2020642517132053,-0.27834662849238273,0.17014786157770734,-0.06915512856899086,21.91291859363432
2016-09-20 06:20:00,1017.2,False,1,8.333333333333334,0,False,1012.2,False,440,False,7.0,380,43.0,4.6,26.9,0,2016-09-20 06:40:00,20.0,False,0.0,1.9720265943665387,-0.5069049427193769,-0.2020642517132056,-0.27834662849238256,0.17014786157770745,-0.06915512856899084,30.054973955926837
2016-09-20 06:40:00,1017.2,False,1,8.166666666666666,0,False,1012.2,False,460,False,7.0,400,43.0,4.6,26.9,0,2016-09-20 07:00:00,29.0,False,0.0,1.950783318453271,-0.8989126639559629,0.2727986112301577,0.2828553422098205,-0.3409448373821888,0.6613301349297535,43.337511728291005
2016-09-20 07:00:00,1017.6,False,1,9.5,0,False,1012.6,False,360,False,11.0,420,42.0,4.5,25.4,0,2016-09-20 07:20:00,38.0,False,0.0,3.0956959368344514,-1.2753737383680597,0.6375558993008557,0.8020677143647935,-0.8263394172735388,0.5683152354490378,49.79129558590498
2016-09-20 07:20:00,1017.6,False,1,9.333333333333334,0,False,1012.6,False,380,False,11.0,440,42.0,4.5,25.4,0,2016-09-20 07:40:00,30.0,False,0.0,3.0912061651652345,-1.3816831550181774,0.7690757073316188,1.0094857511317736,-0.9115513254201846,0.6116350911014287,46.86431579338208
2016-09-20 07:40:00,1017.6,False,1,8.666666666666666,0,False,1012.6,False,400,False,11.0,460,42.0,4.5,25.4,0,2016-09-20 08:00:00,31.0,False,0.0,3.6817870057290873,-1.649755100594393,1.077988762450442,1.2656817442313266,-0.5825671858625514,0.7151936783054319,0.0292421990096976
2016-09-20 08:00:00,1017.6,False,1,9.5,0,False,1012.6,False,300,False,11.0,480,42.0,4.5,25.4,0,2016-09-20 08:20:00,53.0,False,0.0,3.304037933599835,-1.7247423237609332,1.153908192469847,1.3919121627040931,-0.6275127577447203,0.6515327816327272,-0.6448510244813104
2016-09-20 08:20:00,1017.6,False,1,9.833333333333334,0,False,1012.6,False,320,False,11.0,500,42.0,4.5,25.4,0,2016-09-20 08:40:00,50.0,False,0.0,3.531603350069515,-1.7247423237609336,1.1539081924698475,1.3919121627040938,-0.6275127577447199,0.6515327816327271,-0.6580087834943669
2016-09-20 08:40:00,1017.6,False,1,11.833333333333336,0,False,1012.6,False,340,False,11.0,520,42.0,4.5,25.4,0,2016-09-20 09:00:00,45.0,False,0.0,5.013869652163773,-1.7247423237609334,1.153908192469848,1.3919121627040936,-0.6275127577447205,0.6515327816327271,-0.06401124067219753
2016-09-20 09:00:00,1017.6,False,1,14.166666666666664,0,False,1012.6,False,240,False,11.0,540,42.0,4.5,25.4,0,2016-09-20 09:20:00,51.0,False,0.0,8.19383236885457,-1.5630374138931242,1.0542420713721223,1.4907961316316456,-0.4382594091503133,0.048367569161464286,-0.4619697688434728
2016-09-20 09:20:00,1017.6,False,1,19.0,0,False,1012.6,False,260,False,11.0,560,42.0,4.5,25.4,0,2016-09-20 09:40:00,68.0,False,0.0,11.575836902790224,-1.4822838362190554,0.9261266131856176,1.1823671857007687,-0.33802514803926936,-0.03722715100536686,-0.0041812189382248715
