intersection_id,time_window_start,tollgate_id,tsv
A,2016-07-19 06:00:00,2.0,52.28583288614072
A,2016-07-20 06:00:00,2.0,52.26109813292033
A,2016-07-21 06:00:00,2.0,52.85769242407139
A,2016-07-22 06:00:00,2.0,53.3487483927198
A,2016-07-23 06:00:00,2.0,51.871160859598206
A,2016-07-24 06:00:00,2.0,49.88987018727629
A,2016-07-25 06:00:00,2.0,17.941874275388372
A,2016-07-26 06:00:00,2.0,40.93633098162908
A,2016-07-27 06:00:00,2.0,22.01721887467128
A,2016-07-28 06:00:00,2.0,45.83448437747348
A,2016-07-29 06:00:00,2.0,29.321910304923883
A,2016-07-30 06:00:00,2.0,49.237001536317486
A,2016-07-31 06:00:00,2.0,32.7411530952309
A,2016-08-01 06:00:00,2.0,50.756421536715585
A,2016-08-02 06:00:00,2.0,36.5715889415485
A,2016-08-03 06:00:00,2.0,52.98916001451532
A,2016-08-04 06:00:00,2.0,38.22947178676753
A,2016-08-05 06:00:00,2.0,53.48971112191829
A,2016-08-06 06:00:00,2.0,40.49260744971856
A,2016-08-07 06:00:00,2.0,51.56593224298301
A,2016-08-08 06:00:00,2.0,38.684209781525446
A,2016-08-09 06:00:00,2.0,50.677485181799184
A,2016-08-10 06:00:00,2.0,40.159005574893044
A,2016-08-11 06:00:00,2.0,47.89872985891924
A,2016-08-12 06:00:00,2.0,40.479491368749734
A,2016-08-13 06:00:00,2.0,50.11446757421955
A,2016-08-14 06:00:00,2.0,43.18893401312861
A,2016-08-15 06:00:00,2.0,50.549185241883116
A,2016-08-16 06:00:00,2.0,45.55228119696898
A,2016-08-17 06:00:00,2.0,49.81591557649221
A,2016-08-18 06:00:00,2.0,42.351947149413604
A,2016-08-19 06:00:00,2.0,49.91888898191773
A,2016-08-20 06:00:00,2.0,44.484684640722236
A,2016-08-21 06:00:00,2.0,48.96481778286287
A,2016-08-22 06:00:00,2.0,48.03727110199967
A,2016-08-23 06:00:00,2.0,52.66307197039492
A,2016-08-24 06:00:00,2.0,48.021269706924436
A,2016-08-25 06:00:00,2.0,55.592747587014514
A,2016-08-26 06:00:00,2.0,49.304967602005995
A,2016-08-27 06:00:00,2.0,55.75089044766649
A,2016-08-28 06:00:00,2.0,52.35785099579576
A,2016-08-29 06:00:00,2.0,58.00340845885877
A,2016-08-30 06:00:00,2.0,58.24013833990389
A,2016-08-31 06:00:00,2.0,59.0239514281089
A,2016-09-01 06:00:00,2.0,58.41778381539372
A,2016-09-02 06:00:00,2.0,58.53903300147303
A,2016-09-03 06:00:00,2.0,52.731964998156414
